source_table,source_column,source_type,bread_type,legacy_format,legacy_path_root,target_metadata,access_rule,orphan_rule,validation,evidence
candidates,stamp_file_path,longtext,file,Possible Voyager array JSON with download_link/original_name; detect per value,"Voyager/public storage relative path, often candidates/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
candidate_documents,document_type_id,int(11),UNVERIFIED: no file-type BREAD declaration,Usually scalar path; profile before load,"Voyager/public storage relative path, often candidate_documents/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
candidate_documents,document_no,varchar(255),UNVERIFIED: no file-type BREAD declaration,Usually scalar path; profile before load,"Voyager/public storage relative path, often candidate_documents/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
candidate_documents,file_path,varchar(255),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often candidate_documents/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
companiers,logo,longtext,image,Possible Voyager array JSON with download_link/original_name; detect per value,"Voyager/public storage relative path, often companiers/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
educations,certificate_file_path,varchar(250),UNVERIFIED: no file-type BREAD declaration,Usually scalar path; profile before load,"Voyager/public storage relative path, often educations/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
employees,nid_file_path,varchar(255),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often employees/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
employees,passport_file_path,varchar(255),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often employees/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
employees,full_photo_file_path,varchar(255),image,Usually scalar path; profile before load,"Voyager/public storage relative path, often employees/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
employees,half_photo_file_path,varchar(255),image,Usually scalar path; profile before load,"Voyager/public storage relative path, often employees/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
employees,cv_file_path,varchar(250),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often employees/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
employers,nid_file_path,varchar(255),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often employers/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
employers,passport_file_path,varchar(255),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often employers/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
employers,full_photo_file_path,varchar(255),image,Usually scalar path; profile before load,"Voyager/public storage relative path, often employers/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
employers,half_photo_file_path,varchar(255),image,Usually scalar path; profile before load,"Voyager/public storage relative path, often employers/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
employers,cv_file_path,varchar(250),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often employers/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
flight_schedules,ticket_file_path,varchar(255),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often flight_schedules/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
flight_schedules,arrival_seal_page_file_path,varchar(255),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often flight_schedules/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
labour_contracts,document_file_path,varchar(255),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often labour_contracts/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
licenses,license_file_path,longtext,file,Possible Voyager array JSON with download_link/original_name; detect per value,"Voyager/public storage relative path, often licenses/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
manpower_trainings,certificate_issue_date,date,UNVERIFIED: no file-type BREAD declaration,Usually scalar path; profile before load,"Voyager/public storage relative path, often manpower_trainings/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
manpower_trainings,certificate_expire_date,date,UNVERIFIED: no file-type BREAD declaration,Usually scalar path; profile before load,"Voyager/public storage relative path, often manpower_trainings/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
manpower_trainings,certificate_file_path,varchar(250),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often manpower_trainings/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
manpower_trainings,manpower_file_path,varchar(250),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often manpower_trainings/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
manpower_trainings,finger_print_file_path,varchar(250),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often manpower_trainings/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
medicals,document_file_path,varchar(255),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often medicals/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
pages,image,varchar(255),image,Usually scalar path; profile before load,"Voyager/public storage relative path, often pages/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
payments,cheque_file_path,varchar(255),file,Usually scalar path; profile before load,"Voyager/public storage relative path, often payments/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
payments_backup_01072026,cheque_file_path,varchar(255),UNVERIFIED: no file-type BREAD declaration,Usually scalar path; profile before load,"Voyager/public storage relative path, often payments_backup_01072026/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
payments_backup_18062026,cheque_file_path,varchar(255),UNVERIFIED: no file-type BREAD declaration,Usually scalar path; profile before load,"Voyager/public storage relative path, often payments_backup_18062026/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
payments_backup_20260625_0214pm,cheque_file_path,varchar(255),UNVERIFIED: no file-type BREAD declaration,Usually scalar path; profile before load,"Voyager/public storage relative path, often payments_backup_20260625_0214pm/<MonthYear>/...; physical root UNVERIFIED","file_id UUID, object_key, original_name, detected_mime, size_bytes, sha256, source_table, source_id, source_column, ordinal, created_at, classification",Private-by-default; short-lived authorized download; resource policy plus document classification,"Inventory path; MISSING if DB ref lacks object; ORPHAN if object lacks ref; quarantine, never silently delete",byte-for-byte SHA-256 after copy; independently sniff MIME; size parity; JSON cardinality parity,CONFIRMED field/BREAD metadata; UNVERIFIED storage existence without filesystem inventory
