source_table,purpose,insert_row_count,primary_key,indexes,declared_fks,logical_relationships,model_refs,controller_refs,service_helper_refs,report_refs,sensitive_fields,status_fields,duplicate_legacy_evidence,target_table,target_module,decision,legacy_id_mapping,validation_rule,migration_risk
class_groups,Legacy records for class groups; business semantics beyond schema/source references are UNVERIFIED.,63,id,[],[],UNVERIFIED: no safe relationship inferred,src/app/Models/Candidate.php:20 | src/app/Models/ClassGroup.php:8 | src/app/Models/ClassSchedule.php:10 | src/app/Models/Exam.php:10 | src/app/Models/ExamResult.php:25 | src/app/Models/SelectedCandidate.php:10,src/app/Http/Controllers/ApiController.php:37 | src/app/Http/Controllers/PageController.php:8 | src/app/Http/Controllers/Admin/VoyagerAjaxController.php:31 | src/app/Http/Controllers/Admin/VoyagerCandidatesController.php:9 | src/app/Http/Controllers/Admin/VoyagerExamResultController.php:7 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:847 | src/app/Http/Controllers/Admin/VoyagerReportController.php:440 | src/app/Http/Controllers/Admin/VoyagerTicketInvoiceController.php:243,src/app/Helpers/CommonClass.php:564,agent-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::agentReport; src/resources/views/vendor/voyager/reports/print/agent-report.blade.php | employee-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::employerReport; src/resources/views/vendor/voyager/reports/print/employer-report.blade.php | teacher-schedule: src/app/Http/Controllers/Admin/VoyagerReportController.php::teacherSchedule; src/resources/views/vendor/voyager/reports/print/teacher-schedule.blade.php | exam-result-sheet: src/app/Http/Controllers/Admin/VoyagerReportController.php::examResultSheet; src/resources/views/vendor/voyager/reports/print/exam-result-sheet.blade.php | candidate-resume-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::candidateResumeReport; src/resources/views/vendor/voyager/reports/print/candidate-resume-report.blade.php | candidate-list-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::candidateListReport; src/resources/views/vendor/voyager/reports/print/candidate-list-report.blade.php,"name,fee_amount",status,None evidenced by name/schema alone.,operations.class_groups,operations,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=63; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
class_schedules,Legacy records for class schedules; business semantics beyond schema/source references are UNVERIFIED.,3,id,[],[],teacher_id->teachers.id [INFERRED] | class_group_id->class_groups.id [INFERRED],src/app/Models/ClassSchedule.php:8 | src/app/Models/Teacher.php:21,src/app/Http/Controllers/Admin/VoyagerClassScheduleController.php:6 | src/app/Http/Controllers/Admin/VoyagerReportController.php:624,UNVERIFIED: no canonical service/helper reference found,teacher-schedule: src/app/Http/Controllers/Admin/VoyagerReportController.php::teacherSchedule; src/resources/views/vendor/voyager/reports/print/teacher-schedule.blade.php,none identified by field-name heuristic,status,None evidenced by name/schema alone.,operations.class_schedules,operations,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=3; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,MEDIUM
companiers,Master records for overseas employer companies/account principals.,390,id,[],[],country_id->countries.id [INFERRED],src/app/Models/Candidate.php:32 | src/app/Models/Companier.php:10 | src/app/Models/Invoice.php:12 | src/app/Models/License.php:11 | src/app/Models/TicketInvoice.php:10,src/app/Http/Controllers/Admin/VoyagerAjaxController.php:36 | src/app/Http/Controllers/Admin/VoyagerCompanierController.php:35 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:847 | src/app/Http/Controllers/Admin/VoyagerReportController.php:461 | src/app/Http/Controllers/Admin/VoyagerTicketInvoiceController.php:8,src/app/Helpers/CommonClass.php:10,selected-candidate-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::selectedCandidateReport; src/resources/views/vendor/voyager/reports/print/selected-candidate-report.blade.php | flight-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::flightReport; src/resources/views/vendor/voyager/reports/print/flight-report.blade.php | employee-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::employerReport; src/resources/views/vendor/voyager/reports/print/employer-report.blade.php | flight-schedule: src/app/Http/Controllers/Admin/VoyagerReportController.php::flightSchedule; src/resources/views/vendor/voyager/reports/print/flight-schedule.blade.php | candidate-resume-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::candidateResumeReport; src/resources/views/vendor/voyager/reports/print/candidate-resume-report.blade.php | candidate-list-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::candidateListReport; src/resources/views/vendor/voyager/reports/print/candidate-list-report.blade.php | company-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::companyReport; src/resources/views/vendor/voyager/reports/print/company-report.blade.php | tickets-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::ticketsReport; src/resources/views/vendor/voyager/reports/print/tickets-report.blade.php | money-receipt-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::moneyReceiptReport; src/resources/views/vendor/voyager/reports/print/money-receipt-report.blade.php,"name,email,mobile,address,balance,owner_name,owner_mobile,owner_email",status,Near-name collision but materially different columns/ownership; do not merge without business keys.,partners.companies,partners,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=390; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
companies,Candidate-specific company name/address snapshots; not the companier master.,263,id,[],[],candidate_id->candidates.id [INFERRED],src/app/Models/Company.php:8,src/app/Http/Controllers/Admin/AuthenticationController.php:29 | src/app/Http/Controllers/Admin/VoyagerCandidatesController.php:619 | src/app/Http/Controllers/Admin/VoyagerReportController.php:741,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,"name,address",none,Near-name collision but materially different columns/ownership; do not merge without business keys.,candidate.company_snapshots,candidate,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=263; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
countries,Legacy records for countries; business semantics beyond schema/source references are UNVERIFIED.,239,id,[],[],UNVERIFIED: no safe relationship inferred,src/app/Models/Country.php:8,UNVERIFIED: no canonical controller reference found,UNVERIFIED: no canonical service/helper reference found,company-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::companyReport; src/resources/views/vendor/voyager/reports/print/company-report.blade.php,"name,code_name,phone_code",none,None evidenced by name/schema alone.,operations.countries,operations,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=239; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
currencies,Legacy records for currencies; business semantics beyond schema/source references are UNVERIFIED.,2,id,[],[],UNVERIFIED: no safe relationship inferred,src/app/Models/Currency.php:8,src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:639,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,"full_name,short_name",status,None evidenced by name/schema alone.,operations.currencies,operations,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=2; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
curricular_list,Legacy records for curricular list; business semantics beyond schema/source references are UNVERIFIED.,0,id,[],[],user_id->users.id [INFERRED],src/app/Models/CurricularList.php:8,src/app/Http/Controllers/PageController.php:9 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:10,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,curricular_name,none,None evidenced by name/schema alone.,operations.curricular_list,operations,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=0; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
data_rows,Legacy records for data rows; business semantics beyond schema/source references are UNVERIFIED.,799,id,"[{""kind"":""INDEX"",""name"":""data_rows_data_type_id_foreign"",""columns"":[""data_type_id""]}]","[{""name"":""data_rows_data_type_id_foreign"",""columns"":[""data_type_id""],""ref_table"":""data_types"",""ref_columns"":[""id""],""actions"":""ON DELETE CASCADE ON UPDATE CASCADE""}]",data_type_id->data_types.id [CONFIRMED],UNVERIFIED: no canonical model maps to this table by explicit $table or Laravel naming convention,UNVERIFIED: no canonical controller reference found,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,display_name,none,None evidenced by name/schema alone.,legacy_platform.data_rows,legacy_platform,IGNORE,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=799; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
data_types,Legacy records for data types; business semantics beyond schema/source references are UNVERIFIED.,47,id,"[{""kind"":""UNIQUE"",""name"":""data_types_name_unique"",""columns"":[""name""]},{""kind"":""UNIQUE"",""name"":""data_types_slug_unique"",""columns"":[""slug""]}]",[],UNVERIFIED: no safe relationship inferred,UNVERIFIED: no canonical model maps to this table by explicit $table or Laravel naming convention,src/app/Http/Controllers/Admin/AuthenticationController.php:75 | src/app/Http/Controllers/Admin/VoyagerAgencierController.php:27 | src/app/Http/Controllers/Admin/VoyagerAgencyController.php:28 | src/app/Http/Controllers/Admin/VoyagerAgentController.php:28 | src/app/Http/Controllers/Admin/VoyagerAnnouncementsController.php:28 | src/app/Http/Controllers/Admin/VoyagerArcController.php:28 | src/app/Http/Controllers/Admin/VoyagerCandidateDocumentController.php:25 | src/app/Http/Controllers/Admin/VoyagerCandidatesController.php:37 | src/app/Http/Controllers/Admin/VoyagerClassScheduleController.php:20 | src/app/Http/Controllers/Admin/VoyagerCompanierController.php:27 | src/app/Http/Controllers/Admin/VoyagerCompanyController.php:28 | src/app/Http/Controllers/Admin/VoyagerEmployeeController.php:27 | src/app/Http/Controllers/Admin/VoyagerEmployerController.php:27 | src/app/Http/Controllers/Admin/VoyagerExamController.php:21 | src/app/Http/Controllers/Admin/VoyagerExamResultController.php:25 | src/app/Http/Controllers/Admin/VoyagerFlightScheduleController.php:28 | src/app/Http/Controllers/Admin/VoyagerInvoiceController.php:23 | src/app/Http/Controllers/Admin/VoyagerInvoiceMoneyReceiptController.php:66 | src/app/Http/Controllers/Admin/VoyagerLabourContractController.php:28 | src/app/Http/Controllers/Admin/VoyagerLicenseController.php:22 | src/app/Http/Controllers/Admin/VoyagerManpowerController.php:28 | src/app/Http/Controllers/Admin/VoyagerMedicalMinistryController.php:28 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:86 | src/app/Http/Controllers/Admin/VoyagerNotificationsController.php:30 | src/app/Http/Controllers/Admin/VoyagerPaymentController.php:23 | src/app/Http/Controllers/Admin/VoyagerPaymentRequestController.php:24 | src/app/Http/Controllers/Admin/VoyagerPoliceClearanceController.php:28 | src/app/Http/Controllers/Admin/VoyagerProfileController.php:33 | src/app/Http/Controllers/Admin/VoyagerReportController.php:28 | src/app/Http/Controllers/Admin/VoyagerSubAgentController.php:33 | src/app/Http/Controllers/Admin/VoyagerSubAgentPaymentRequestController.php:26 | src/app/Http/Controllers/Admin/VoyagerTeacherController.php:27 | src/app/Http/Controllers/Admin/VoyagerTicketInvoiceController.php:26 | src/app/Http/Controllers/Admin/VoyagerTicketInvoiceMoneyReceiptController.php:66 | src/app/Http/Controllers/Admin/VoyagerUserController.php:43 | src/app/Http/Controllers/Admin/VoyagerVisaImmigrationController.php:28,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,"name,display_name_singular,display_name_plural,model_name,policy_name",none,None evidenced by name/schema alone.,legacy_platform.data_types,legacy_platform,IGNORE,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=47; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
districts,Legacy records for districts; business semantics beyond schema/source references are UNVERIFIED.,64,UNVERIFIED: no PK declared in dump,[],[],division_id->divisions.id [INFERRED],UNVERIFIED: no canonical model maps to this table by explicit $table or Laravel naming convention,UNVERIFIED: no canonical controller reference found,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,"name,bn_name",none,None evidenced by name/schema alone.,operations.districts,operations,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=64; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
divisions,Legacy records for divisions; business semantics beyond schema/source references are UNVERIFIED.,8,UNVERIFIED: no PK declared in dump,[],[],UNVERIFIED: no safe relationship inferred,UNVERIFIED: no canonical model maps to this table by explicit $table or Laravel naming convention,UNVERIFIED: no canonical controller reference found,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,"name,bn_name",none,None evidenced by name/schema alone.,operations.divisions,operations,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=8; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
document_types,Legacy records for document types; business semantics beyond schema/source references are UNVERIFIED.,30,id,[],[],UNVERIFIED: no safe relationship inferred,src/app/Models/CandidateDocument.php:10 | src/app/Models/DocumentType.php:8,src/app/Http/Controllers/Admin/VoyagerCandidateDocumentController.php:57,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,name,status,None evidenced by name/schema alone.,operations.document_types,operations,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=30; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
educations,Legacy records for educations; business semantics beyond schema/source references are UNVERIFIED.,907,id,[],[],user_id->users.id [INFERRED],src/app/Models/Education.php:8,src/app/Http/Controllers/PageController.php:10 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:11,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,"exam_name,institute_name,certificate_file_path,board_name",status,None evidenced by name/schema alone.,operations.educations,operations,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=907; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
employees,Legacy records for employees; business semantics beyond schema/source references are UNVERIFIED.,3,id,[],[],UNVERIFIED: no safe relationship inferred,src/app/Models/Employee.php:10,src/app/Http/Controllers/Admin/VoyagerEmployeeController.php:35 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:77 | src/app/Http/Controllers/Admin/VoyagerUserController.php:63,src/app/Helpers/CommonClass.php:12,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,"name,email,mobile,nid,nid_file_path,passport_no,passport_issue_date,passport_expire_date,passport_file_path,dob,full_photo_file_path,half_photo_file_path,father_name,mother_name,present_address_house,permanent_address_house,cv_file_path",status,None evidenced by name/schema alone.,operations.employees,operations,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=3; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
employer_candidates,Legacy records for employer candidates; business semantics beyond schema/source references are UNVERIFIED.,0,id,[],[],employer_id->employers.id [INFERRED] | candidate_id->candidates.id [INFERRED],src/app/Models/Candidate.php:76 | src/app/Models/EmployerCandidate.php:8,src/app/Http/Controllers/PageController.php:105 | src/app/Http/Controllers/Admin/VoyagerAjaxController.php:8,src/app/Helpers/CommonClass.php:13,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,none identified by field-name heuristic,none,None evidenced by name/schema alone.,candidate.employer_candidates,candidate,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=0; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,LOW
employers,Legacy records for employers; business semantics beyond schema/source references are UNVERIFIED.,1,id,[],[],UNVERIFIED: no safe relationship inferred,src/app/Models/Employer.php:10,src/app/Http/Controllers/PageController.php:134 | src/app/Http/Controllers/Admin/VoyagerEmployerController.php:35 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:80 | src/app/Http/Controllers/Admin/VoyagerReportController.php:537 | src/app/Http/Controllers/Admin/VoyagerUserController.php:66,src/app/Helpers/CommonClass.php:235,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,"name,email,mobile,nid,nid_file_path,passport_no,passport_issue_date,passport_expire_date,passport_file_path,dob,full_photo_file_path,half_photo_file_path,father_name,mother_name,present_address_house,permanent_address_house,cv_file_path",status,None evidenced by name/schema alone.,operations.employers,operations,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=1; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
euro_to_bdt_rates,Legacy records for euro to bdt rates; business semantics beyond schema/source references are UNVERIFIED.,1,id,[],[],UNVERIFIED: no safe relationship inferred,src/app/Models/EuroToBdtRate.php:8,UNVERIFIED: no canonical controller reference found,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,none identified by field-name heuristic,none,None evidenced by name/schema alone.,finance.euro_to_bdt_rates,finance,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=1; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,MEDIUM
exam_results,Legacy records for exam results; business semantics beyond schema/source references are UNVERIFIED.,18854,id,[],[],exam_id->exams.id [INFERRED] | candidate_id->candidates.id [INFERRED] | class_group_id->class_groups.id [INFERRED],src/app/Models/Candidate.php:68 | src/app/Models/ExamResult.php:8,src/app/Http/Controllers/Admin/VoyagerExamResultController.php:36 | src/app/Http/Controllers/Admin/VoyagerReportController.php:649,UNVERIFIED: no canonical service/helper reference found,employee-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::employerReport; src/resources/views/vendor/voyager/reports/print/employer-report.blade.php | exam-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::examReport; src/resources/views/vendor/voyager/reports/print/exam-report.blade.php | exam-result-sheet: src/app/Http/Controllers/Admin/VoyagerReportController.php::examResultSheet; src/resources/views/vendor/voyager/reports/print/exam-result-sheet.blade.php,remarks,status,None evidenced by name/schema alone.,operations.exam_results,operations,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=18854; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
exams,Legacy records for exams; business semantics beyond schema/source references are UNVERIFIED.,28,id,[],[],class_group_id->class_groups.id [INFERRED],src/app/Models/Exam.php:8 | src/app/Models/ExamResult.php:20,src/app/Http/Controllers/Admin/VoyagerExamController.php:50 | src/app/Http/Controllers/Admin/VoyagerExamResultController.php:8 | src/app/Http/Controllers/Admin/VoyagerReportController.php:564,UNVERIFIED: no canonical service/helper reference found,exam-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::examReport; src/resources/views/vendor/voyager/reports/print/exam-report.blade.php | exam-result-sheet: src/app/Http/Controllers/Admin/VoyagerReportController.php::examResultSheet; src/resources/views/vendor/voyager/reports/print/exam-result-sheet.blade.php,"name,remarks",status,None evidenced by name/schema alone.,operations.exams,operations,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=28; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
experiences,Legacy records for experiences; business semantics beyond schema/source references are UNVERIFIED.,1003,id,[],[],user_id->users.id [INFERRED] | country_id->countries.id [INFERRED],src/app/Models/Exprience.php:11,UNVERIFIED: no canonical controller reference found,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,"company_name,company_address",status,None evidenced by name/schema alone.,operations.experiences,operations,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=1003; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
expertise_list,Legacy records for expertise list; business semantics beyond schema/source references are UNVERIFIED.,0,id,[],[],user_id->users.id [INFERRED],src/app/Models/ExpertiseList.php:8,src/app/Http/Controllers/PageController.php:11 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:12,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,expertise_name,none,None evidenced by name/schema alone.,operations.expertise_list,operations,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=0; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
failed_jobs,Legacy records for failed jobs; business semantics beyond schema/source references are UNVERIFIED.,0,id,"[{""kind"":""UNIQUE"",""name"":""failed_jobs_uuid_unique"",""columns"":[""uuid""]}]",[],UNVERIFIED: no safe relationship inferred,UNVERIFIED: no canonical model maps to this table by explicit $table or Laravel naming convention,UNVERIFIED: no canonical controller reference found,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,none identified by field-name heuristic,none,None evidenced by name/schema alone.,legacy_platform.failed_jobs,legacy_platform,IGNORE,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=0; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,LOW
flight_schedules,Legacy records for flight schedules; business semantics beyond schema/source references are UNVERIFIED.,640,id,[],[],candidate_id->candidates.id [INFERRED],src/app/Models/Candidate.php:62 | src/app/Models/FlightSchedule.php:8,src/app/Http/Controllers/Admin/VoyagerReportController.php:461,src/app/Helpers/CommonClass.php:14,selected-candidate-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::selectedCandidateReport; src/resources/views/vendor/voyager/reports/print/selected-candidate-report.blade.php | flight-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::flightReport; src/resources/views/vendor/voyager/reports/print/flight-report.blade.php | flight-schedule: src/app/Http/Controllers/Admin/VoyagerReportController.php::flightSchedule; src/resources/views/vendor/voyager/reports/print/flight-schedule.blade.php | candidate-resume-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::candidateResumeReport; src/resources/views/vendor/voyager/reports/print/candidate-resume-report.blade.php | candidate-list-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::candidateListReport; src/resources/views/vendor/voyager/reports/print/candidate-list-report.blade.php,"airlinece_name,ticket_file_path,arrival_seal_page_file_path",none,None evidenced by name/schema alone.,candidate.flight_schedules,candidate,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=640; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
interest_list,Legacy records for interest list; business semantics beyond schema/source references are UNVERIFIED.,0,id,[],[],user_id->users.id [INFERRED],src/app/Models/InterestList.php:8,src/app/Http/Controllers/PageController.php:13 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:14,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,interest_name,none,None evidenced by name/schema alone.,operations.interest_list,operations,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=0; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
invoice_candidates,Legacy records for invoice candidates; business semantics beyond schema/source references are UNVERIFIED.,930,id,[],[],invoice_id->invoices.id [INFERRED] | candidate_id->candidates.id [INFERRED],src/app/Models/Invoice.php:12 | src/app/Models/InvoiceCandidate.php:8,UNVERIFIED: no canonical controller reference found,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,none identified by field-name heuristic,none,None evidenced by name/schema alone.,finance.invoice_candidates,finance,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=930; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,MEDIUM
invoice_heads,Legacy records for invoice heads; business semantics beyond schema/source references are UNVERIFIED.,16,id,[],[],UNVERIFIED: no safe relationship inferred,src/app/Models/InvoiceHead.php:8,UNVERIFIED: no canonical controller reference found,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,none identified by field-name heuristic,status,None evidenced by name/schema alone.,finance.invoice_heads,finance,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=16; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,MEDIUM
invoice_lines,Legacy records for invoice lines; business semantics beyond schema/source references are UNVERIFIED.,7792,id,[],[],invoice_id->invoices.id [INFERRED] | invoice_head_id->invoice_heads.id [INFERRED],src/app/Models/Invoice.php:12 | src/app/Models/InvoiceLine.php:8 | src/app/Models/TicketInvoice.php:10,src/app/Http/Controllers/Admin/VoyagerInvoiceController.php:7 | src/app/Http/Controllers/Admin/VoyagerTicketInvoiceController.php:10,UNVERIFIED: no canonical service/helper reference found,UNVERIFIED: definitive active report catalog contains no query/view reference to this table,"sub_total_amount,vat_amount,total_amount",none,None evidenced by name/schema alone.,finance.invoice_lines,finance,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=7792; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
invoice_money_receipts,Legacy records for invoice money receipts; business semantics beyond schema/source references are UNVERIFIED.,321,id,[],[],invoice_id->invoices.id [INFERRED],src/app/Models/InvoiceMoneyReceipt.php:8,src/app/Http/Controllers/Admin/VoyagerInvoiceMoneyReceiptController.php:6 | src/app/Http/Controllers/Admin/VoyagerReportController.php:859 | src/app/Http/Controllers/Admin/VoyagerTicketInvoiceMoneyReceiptController.php:6,UNVERIFIED: no canonical service/helper reference found,money-receipt-report: src/app/Http/Controllers/Admin/VoyagerReportController.php::moneyReceiptReport; src/resources/views/vendor/voyager/reports/print/money-receipt-report.blade.php,amount,none,None evidenced by name/schema alone.,finance.invoice_money_receipts,finance,KEEP,"legacy_key_map(source_system='manpower_mysql',source_table,source_id)->target_type,target_id; unique on source triplet",source INSERT tuples=321; reconcile target lineage count and PK uniqueness; compare deterministic field hashes excluding approved transforms,HIGH
