source_table,source_column,target_table,target_column,evidence,reason
companiers,country_id,countries,id,INFERRED,Naming convention plus target table presence; no declared FK.
companies,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
curricular_list,user_id,users,id,INFERRED,Naming convention plus target table presence; no declared FK.
districts,division_id,divisions,id,INFERRED,Naming convention plus target table presence; no declared FK.
educations,user_id,users,id,INFERRED,Naming convention plus target table presence; no declared FK.
employer_candidates,employer_id,employers,id,INFERRED,Naming convention plus target table presence; no declared FK.
employer_candidates,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
exams,class_group_id,class_groups,id,INFERRED,Naming convention plus target table presence; no declared FK.
exam_results,exam_id,exams,id,INFERRED,Naming convention plus target table presence; no declared FK.
exam_results,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
exam_results,class_group_id,class_groups,id,INFERRED,Naming convention plus target table presence; no declared FK.
experiences,user_id,users,id,INFERRED,Naming convention plus target table presence; no declared FK.
experiences,country_id,countries,id,INFERRED,Naming convention plus target table presence; no declared FK.
expertise_list,user_id,users,id,INFERRED,Naming convention plus target table presence; no declared FK.
flight_schedules,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
interest_list,user_id,users,id,INFERRED,Naming convention plus target table presence; no declared FK.
invoices,companier_id,companiers,id,INFERRED,Naming convention plus target table presence; no declared FK.
invoices,country_id,countries,id,INFERRED,Naming convention plus target table presence; no declared FK.
invoice_candidates,invoice_id,invoices,id,INFERRED,Naming convention plus target table presence; no declared FK.
invoice_candidates,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
invoice_lines,invoice_id,invoices,id,INFERRED,Naming convention plus target table presence; no declared FK.
invoice_lines,invoice_head_id,invoice_heads,id,INFERRED,Naming convention plus target table presence; no declared FK.
invoice_money_receipts,invoice_id,invoices,id,INFERRED,Naming convention plus target table presence; no declared FK.
labour_contracts,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
language_list,user_id,users,id,INFERRED,Naming convention plus target table presence; no declared FK.
licenses,companier_id,companiers,id,INFERRED,Naming convention plus target table presence; no declared FK.
license_positions,license_id,licenses,id,INFERRED,Naming convention plus target table presence; no declared FK.
license_positions,position_id,positions,id,INFERRED,Naming convention plus target table presence; no declared FK.
manpower_trainings,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
medicals,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
medicals,country_id,countries,id,INFERRED,Naming convention plus target table presence; no declared FK.
menu_items,parent_id,menu_items,id,INFERRED,Naming convention plus target table presence; no declared FK.
notifications,user_id,users,id,INFERRED,Naming convention plus target table presence; no declared FK.
notifications,group_id,class_groups,id,INFERRED,Naming convention plus target table presence; no declared FK.
notification_class_groups,notification_id,notifications,id,INFERRED,Naming convention plus target table presence; no declared FK.
notification_class_groups,class_group_id,class_groups,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments,agent_id,agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments,sub_agent_id,sub_agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments,teacher_id,teachers,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments,employee_id,employees,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments,employer_id,employers,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments,user_id,users,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments,currency_id,currencies,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments,request_id,payment_requests,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_01072026,agent_id,agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_01072026,sub_agent_id,sub_agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_01072026,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_01072026,teacher_id,teachers,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_01072026,employee_id,employees,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_01072026,employer_id,employers,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_01072026,user_id,users,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_01072026,currency_id,currencies,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_01072026,request_id,payment_requests,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_18062026,agent_id,agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_18062026,sub_agent_id,sub_agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_18062026,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_18062026,teacher_id,teachers,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_18062026,employee_id,employees,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_18062026,employer_id,employers,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_18062026,user_id,users,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_18062026,currency_id,currencies,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_18062026,request_id,payment_requests,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_20260625_0214pm,agent_id,agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_20260625_0214pm,sub_agent_id,sub_agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_20260625_0214pm,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_20260625_0214pm,teacher_id,teachers,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_20260625_0214pm,employee_id,employees,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_20260625_0214pm,employer_id,employers,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_20260625_0214pm,user_id,users,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_20260625_0214pm,currency_id,currencies,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_210620261147am,agent_id,agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_210620261147am,sub_agent_id,sub_agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_210620261147am,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_210620261147am,teacher_id,teachers,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_210620261147am,employee_id,employees,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_210620261147am,employer_id,employers,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_210620261147am,user_id,users,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_backup_210620261147am,currency_id,currencies,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_bk,agent_id,agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_bk,sub_agent_id,sub_agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_bk,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_bk,teacher_id,teachers,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_bk,employee_id,employees,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_bk,employer_id,employers,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_bk,user_id,users,id,INFERRED,Naming convention plus target table presence; no declared FK.
payments_bk,currency_id,currencies,id,INFERRED,Naming convention plus target table presence; no declared FK.
payment_requests,agent_id,agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
payment_requests,group_id,class_groups,id,INFERRED,Naming convention plus target table presence; no declared FK.
payment_requests,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
payment_requests,payment_id,payments,id,INFERRED,Naming convention plus target table presence; no declared FK.
payment_requests_backup_01072026,agent_id,agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
payment_requests_backup_01072026,group_id,class_groups,id,INFERRED,Naming convention plus target table presence; no declared FK.
payment_requests_backup_01072026,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
payment_requests_backup_01072026,payment_id,payments,id,INFERRED,Naming convention plus target table presence; no declared FK.
police_clearances,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
police_clearances,thana_id,thanas,id,INFERRED,Naming convention plus target table presence; no declared FK.
police_clearances,country_id,countries,id,INFERRED,Naming convention plus target table presence; no declared FK.
professional_certificates,user_id,users,id,INFERRED,Naming convention plus target table presence; no declared FK.
professional_certificates,country_id,countries,id,INFERRED,Naming convention plus target table presence; no declared FK.
selected_candidates,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
skills,user_id,users,id,INFERRED,Naming convention plus target table presence; no declared FK.
skill_list,user_id,users,id,INFERRED,Naming convention plus target table presence; no declared FK.
sub_agents,agent_id,agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
sub_agent_payment_requests,sub_agent_id,sub_agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
sub_agent_payment_requests,group_id,class_groups,id,INFERRED,Naming convention plus target table presence; no declared FK.
sub_agent_payment_requests,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
sub_agent_payment_requests,payment_id,payments,id,INFERRED,Naming convention plus target table presence; no declared FK.
temp_candidates,agent_id,agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
temp_candidates,class_group_id,class_groups,id,INFERRED,Naming convention plus target table presence; no declared FK.
thanas,district_id,districts,id,INFERRED,Naming convention plus target table presence; no declared FK.
ticket_companies,country_id,countries,id,INFERRED,Naming convention plus target table presence; no declared FK.
ticket_invoices,ticket_company_id,ticket_companies,id,INFERRED,Naming convention plus target table presence; no declared FK.
ticket_invoices,companier_id,companiers,id,INFERRED,Naming convention plus target table presence; no declared FK.
ticket_invoices,agencier_id,agenciers,id,INFERRED,Naming convention plus target table presence; no declared FK.
ticket_invoices,agent_id,agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
ticket_invoices,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
ticket_invoice_lines,ticket_invoice_id,ticket_invoices,id,INFERRED,Naming convention plus target table presence; no declared FK.
ticket_invoice_lines,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
ticket_invoice_money_receipts,ticket_invoice_id,ticket_invoices,id,INFERRED,Naming convention plus target table presence; no declared FK.
trainings,user_id,users,id,INFERRED,Naming convention plus target table presence; no declared FK.
trainings,country_id,countries,id,INFERRED,Naming convention plus target table presence; no declared FK.
upazilas,district_id,districts,id,INFERRED,Naming convention plus target table presence; no declared FK.
users,user_type_id,user_types,id,INFERRED,Naming convention plus target table presence; no declared FK.
users,agent_id,agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
users,sub_agent_id,sub_agents,id,INFERRED,Naming convention plus target table presence; no declared FK.
users,teacher_id,teachers,id,INFERRED,Naming convention plus target table presence; no declared FK.
users,employee_id,employees,id,INFERRED,Naming convention plus target table presence; no declared FK.
users,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
users,employer_id,employers,id,INFERRED,Naming convention plus target table presence; no declared FK.
users,agencier_id,agenciers,id,INFERRED,Naming convention plus target table presence; no declared FK.
users,companier_id,companiers,id,INFERRED,Naming convention plus target table presence; no declared FK.
visa_immigrations,candidate_id,candidates,id,INFERRED,Naming convention plus target table presence; no declared FK.
