path,line,numeric_role_ids,context,replacement
src/app/Helpers/CommonClass.php,415,106,"$owners = User::where('role_id', 106)->get();",Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Controllers/Admin/VoyagerMyPanelController.php,698,109,if(CommonClass::user()->role_id == 109){,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Controllers/Admin/VoyagerMyPanelController.php,911,102,$role_id = 102;,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Controllers/Admin/VoyagerMyPanelController.php,1137,109,if(CommonClass::user()->role_id == 109){,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Controllers/Admin/VoyagerSubAgentController.php,24,109,private $role_id = 109;,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Controllers/Admin/VoyagerSubAgentController.php,62,101,if(\App\Helpers\CommonClass::user()->role_id == '101'){,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Controllers/Admin/VoyagerSubAgentPaymentRequestController.php,224,101,if(CommonClass::user()->role_id == 101){,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Controllers/Admin/VoyagerTeacherController.php,20,103,private $role_id = 103;,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Controllers/Admin/VoyagerUserController.php,17,"0,1","$query = (CommonClass::user()->role_id !=1)?Role::where('id','>', 1):Role::where('id','>', 0);",Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Middleware/Employer.php,21,102,if( $user->role_id == 102 ){,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Http/Middleware/Employer.php,24,105,if( $user->role_id == 105 ){,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Managers/AuthManager.php,54,3,$userEntity->role_id = 3;,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Models/Candidate.php,85,"101,108,109","if (CommonClass::user() && in_array(CommonClass::user()->role_id, [101, 108, 109])) {",Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Models/Companier.php,20,108,if (CommonClass::user() && CommonClass::user()->role_id == 108) {,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Models/Employee.php,26,1,/*if (CommonClass::user() && CommonClass::user()->role_id !=1) {,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Models/Employer.php,26,1,/*if (CommonClass::user() && CommonClass::user()->role_id !=1) {,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Models/Invoice.php,34,1,if (CommonClass::user() && CommonClass::user()->role_id !=1) {,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Models/Notification.php,15,1,/*if (CommonClass::user() && CommonClass::user()->role_id !=1) {,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Models/Payment.php,22,101,"if (CommonClass::user() && in_array(CommonClass::user()->role_id, [101])) {",Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Models/Payment.php,33,109,"} elseif (CommonClass::user() && in_array(CommonClass::user()->role_id, [109])) {",Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Models/Role.php,41,1,if (CommonClass::user() && CommonClass::user()->role_id !=1) {,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Models/Teacher.php,49,1,/*if (CommonClass::user() && CommonClass::user()->role_id !=1) {,Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Widgets/AgentBalance.php,54,"1,2,106","if( in_array(\auth()->user()->role_id, [1, 2, 106])){",Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Widgets/AgentCandidateSummary.php,51,"1,2,100,101,102,103,104,105,106,107,108","if( in_array(\auth()->user()->role_id, [1, 2, 100, 101, 102, 103, 104, 105, 106, 107, 108])){",Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Widgets/Announcement.php,54,"1,2,100,101,102,103,104,105,106,107,108","if( in_array(\auth()->user()->role_id, [1, 2, 100, 101, 102, 103, 104, 105, 106, 107, 108])){",Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Widgets/GroupChangeDate.php,51,"1,2,100,102,103,104,105,106,107,108","if( in_array(\auth()->user()->role_id, [1, 2, 100, 102, 103, 104, 105, 106, 107, 108])){",Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Widgets/SelectedCandidateSummary.php,52,"1,2,100,101,103,104,105,106,107,108","if( in_array(\auth()->user()->role_id, [1, 2, 100, 101, 103, 104, 105, 106, 107, 108])){",Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Widgets/TableDim.php,51,"1,2,100,101,102,103,104,105,106,107,108","if( in_array(\auth()->user()->role_id, [1, 2, 100, 101, 102, 103, 104, 105, 106, 107, 108])){",Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Widgets/TodaysCalss.php,79,"1,2,100,101,102,103,104,105,106,107,108","if( in_array(\auth()->user()->role_id, [1, 2, 100, 101, 102, 103, 104, 105, 106, 107, 108])){",Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Widgets/UpcomingInterviewSchedule.php,64,"1,2,100,101,102,103,104,105,106,107,108","if( in_array(\auth()->user()->role_id, [1, 2, 100, 101, 102, 103, 104, 105, 106, 107, 108])){",Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/app/Widgets/UpcommingFlightSchedule.php,62,"1,2,100,101,102,103,104,105,106,107,108,109","if( in_array(\auth()->user()->role_id, [1, 2, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109])){",Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/resources/views/layout.blade.php,127,104,@if(auth::user()->role_id != 104),Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/resources/views/layout.blade.php,132,104,@if(auth::user()->role_id == 104),Replace with stable role key/policy check; preserve current behavior until parity tests pass.
src/resources/views/layout.blade.php,264,104,@if (Auth::check() && auth::user()->role_id != 104),Replace with stable role key/policy check; preserve current behavior until parity tests pass.
