transition_id,domain,current_state,next_state,legacy_live_status_label,allowed_actor_roles,preconditions,required_documents,required_payment,validation_rules,database_changes,audit_event,rollback_correction_rule,source_reference,evidence_classification,compatibility_note
WF-11,candidate_account,PENDING (P),ACTIVE (A),"(not a live-status label; affects account access)","CONFIRMED: admin staff with panel access; INFERRED: role_id=104 Employee or 106 Owner; CONFIRMED BUG: AJAX route /panel/ajax/candidate-approval/{id} has no authorize() call — any authenticated panel user can access; PROPOSED: workflow.candidate.approve","CONFIRMED: candidate.status must be 'P'; INFERRED: candidate must exist","INFERRED: none mandatory","INFERRED: none required","CONFIRMED: status and remarks fields required in POST; CONFIRMED: only allowed when current status='P'","CONFIRMED: UPDATE candidates SET status='A', remarks=?; CONFIRMED: UPDATE users SET status='A' for linked user","PROPOSED: workflow_event(event=CANDIDATE_APPROVED, actor, previous_status='P', new_status='A', remarks)","CONFIRMED: no automated rollback; PROPOSED: compensating event CANDIDATE_STATUS_REVERTED with reason; status can be set back to P or I by authorized actor via new explicit event","src/app/Http/Controllers/Admin/VoyagerAjaxController.php:candidateApproval():146-177; src/routes/admin.php:50","CONFIRMED code; CONFIRMED missing authorization; PROPOSED controls","Not a live-status step; separate status gate on account access"
WF-12,candidate_account,ACTIVE (A),INACTIVE (I) — manual,"(not a live-status label)","INFERRED: role_id=104 Employee or 106 Owner; PROPOSED: workflow.candidate.inactivate","INFERRED: candidate is ACTIVE","INFERRED: none","INFERRED: none","INFERRED: standard BREAD edit or explicit inactivation UI","CONFIRMED: UPDATE candidates SET status='I'; INFERRED: UPDATE users SET status='I'","PROPOSED: workflow_event(event=CANDIDATE_INACTIVATED, actor, reason)","INFERRED: re-activation allowed by authorized actor via explicit event; financial records unchanged","src/app/Http/Controllers/Admin/VoyagerCandidatesController.php:update(); src/app/Models/User.php","INFERRED; PROPOSED target controls","Not a live-status step"
WF-13,candidate_account,ACTIVE (A),INACTIVE (I) — auto-cron,"(not a live-status label)","CONFIRMED actor: system cron via /api/candidates/inactivate-old endpoint; CONFIRMED: token auth via X-Cron-Token header; PROPOSED: system.candidate.auto_inactivate","CONFIRMED: candidate status in (A, P); CONFIRMED: created_at more than 1 month ago; CONFIRMED: class_group.name does NOT contain 'final' (case-insensitive check NOT confirmed — needs verification); INFERRED: linked user also inactivated","CONFIRMED: none","CONFIRMED: none","CONFIRMED: age > 1 month AND group name does not contain 'final' AND current status A or P","CONFIRMED: UPDATE candidates SET status='I' for matching set; CONFIRMED: UPDATE users SET status='I' for linked users","PROPOSED: workflow_event(event=CANDIDATE_AUTO_INACTIVATED, actor=SYSTEM, batch_run_id, count)","CONFIRMED: no auto-reversal; PROPOSED: manual re-activation via WF-11 reversal path; cron must be idempotent; each run must log affected IDs for audit","src/app/Http/Controllers/ApiController.php:inactivateCandidates(); src/routes/api.php","CONFIRMED code path; INFERRED edge conditions; PROPOSED target controls","Not a live-status step"
WF-14,candidate_replacement,ACTIVE_PLACED (A),REPLACED (handoff),"(not a live-status label; companier/company handoff)","CONFIRMED: role_id=104 Employee or 106 Owner; PROPOSED: candidate.replacement.sync","CONFIRMED: replaced_by_candidate_id must be set on candidate A (the original); CONFIRMED: replacement candidate B must exist and be active; INFERRED: both candidates must belong to the same agent scope","INFERRED: none at time of replacement sync; PROPOSED: replacement documentation in replacement_remarks","INFERRED: none required","CONFIRMED: syncReplacements() validates replaced_by_candidate_id is set; INFERRED: replacement candidate must not already replace another candidate","CONFIRMED: UPDATE candidates SET companier_id=null WHERE id=A; CONFIRMED: UPDATE candidates SET companier_id=A.companier_id WHERE id=B; CONFIRMED: UPDATE companies SET candidate_id=B WHERE candidate_id=A; CONFIRMED: APPEND to both candidates.replacement_remarks","PROPOSED: workflow_event(event=CANDIDATE_REPLACED, actor, original_candidate_id=A, replacement_candidate_id=B, transferred_companier_id, timestamp)","CONFIRMED: no automated undo; PROPOSED: reversal requires new REPLACEMENT_REVERTED event that swaps companier_id back and reassigns company rows; original remarks preserved (append-only); REQUIRES APPROVAL for any financial impact","src/app/Http/Controllers/Admin/VoyagerCandidatesController.php:syncReplacements():619-656","CONFIRMED code path; INFERRED preconditions; PROPOSED target controls","Not a live-status step; companier_id and company rows transferred"
WF-15,exam,EXAM_OPEN,RESULT_PUBLISHED,"(not a live-status label; affects exam_results)","CONFIRMED: role_id=103 Teacher (view); CONFIRMED: role_id=104 Employee or 106 Owner (publish action); PROPOSED: exam.result.publish","CONFIRMED: exam exists; CONFIRMED: auto-creates missing exam_results rows for all candidates in groups (VoyagerExamResultController:index)","INFERRED: none mandatory","INFERRED: none required","CONFIRMED: exam_id, class_group_id, result value required per row; INFERRED: result values observed: PASS, FAIL (or null for pending)","CONFIRMED: INSERT exam_results for missing rows; CONFIRMED: UPDATE exam_results SET result WHERE published; CONFIRMED on PASS: UPDATE candidates SET class_group_id=result.class_group_id (group promotion)","PROPOSED: workflow_event(event=EXAM_PUBLISHED, actor, exam_id); PROPOSED: workflow_event(event=CANDIDATE_GROUP_PROMOTED, actor, candidate_id, from_group, to_group) per PASS result","INFERRED: no legacy rollback of published results; PROPOSED: compensating event EXAM_RESULT_CORRECTED with original/new result values; group demotion requires explicit CANDIDATE_GROUP_CHANGED event","src/app/Http/Controllers/Admin/VoyagerExamResultController.php; src/app/Actions/ExamResultPublishAction.php; src/app/Actions/CandidateExamResultPublishAction.php","CONFIRMED code; INFERRED edge conditions; PROPOSED target controls","Group promotion changes liveStatus step 3→4 for Rapid groups"
WF-16,finance_wallet,NOT_SUBMITTED,DEPOSIT_PENDING (P),"(not a live-status label; wallet CR)","CONFIRMED: role_id=101 Agent via My Panel wallet; role_id=109 Sub Agent; PROPOSED: panel.agent.wallet.deposit","CONFIRMED: actor must be authenticated panel user; INFERRED: actor is agent or sub-agent (panel route)","INFERRED: cheque_file_path or bank transfer evidence depending on payment_method","INFERRED: none; this is the deposit request itself","CONFIRMED: amount >= 1; CONFIRMED: payment_date <= today; CONFIRMED: bank/cash fields conditional on payment_method; CONFIRMED: currency_id required","CONFIRMED: INSERT payments(type='CR', status='P', agent_id or sub_agent_id, amount, currency_id, payment_date, payment_method, ...); INFERRED: notifications to owner/agent","PROPOSED: workflow_event(event=WALLET_DEPOSIT_SUBMITTED, actor, payment_id, amount, currency_id)","CONFIRMED: only possible while status='P'; PROPOSED: withdraw/cancel event sets status='R'; no financial effect while P","src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:walletStore():652-799","CONFIRMED code; INFERRED preconditions; PROPOSED target controls","Not a live-status step"
WF-17,finance_wallet,DEPOSIT_PENDING (P),DEPOSIT_APPROVED (A),"(not a live-status label; balance credited)","CONFIRMED: finance approver via AJAX; INFERRED: role_id=106 Owner; CONFIRMED BUG: route /panel/ajax/payment-approval/{id} has no authorize() call; PROPOSED: panel.agent.wallet.approve","CONFIRMED: payment.status must be 'P'; CONFIRMED: exchange_rate required in POST body; CONFIRMED: remarks required","INFERRED: none at approval time","INFERRED: none required for approval itself","CONFIRMED: exchange_rate, remarks, status required; CONFIRMED: status must be A or R","CONFIRMED on A: agents.balance += payment.amount / exchange_rate (or sub_agents.balance for sub-agent payments); CONFIRMED: UPDATE payments SET status='A', exchange_rate=?, remarks=?; INFERRED: notifications to agent","PROPOSED: workflow_event(event=WALLET_DEPOSIT_APPROVED, actor, payment_id, credited_amount, base_currency, fx_rate)","CONFIRMED: no reversal in legacy after approval; PROPOSED: WALLET_DEPOSIT_REVERSED compensating DR entry; original payment row preserved as audit evidence; BLOCKED BY APPROVAL A01/A02","src/app/Http/Controllers/Admin/VoyagerAjaxController.php:paymentApproval():66-133; src/app/Actions/PaymentApprovalAction.php","CONFIRMED code; CONFIRMED authorization gap; CONFIRMED FX formula; PROPOSED target controls; FINANCE GATE: BLOCKED BY A01/A02","Not a live-status step; KNOWN INCONSISTENCY: admin direct CR uses raw amount (no FX) vs this approval which divides by exchange_rate"
WF-18,finance_wallet,DEPOSIT_PENDING (P),DEPOSIT_REJECTED (R),"(not a live-status label)","Same as WF-17","CONFIRMED: payment.status must be 'P'","INFERRED: none","INFERRED: none","CONFIRMED: remarks required","CONFIRMED: UPDATE payments SET status='R', remarks=?; CONFIRMED: balance NOT credited","PROPOSED: workflow_event(event=WALLET_DEPOSIT_REJECTED, actor, payment_id, remarks)","CONFIRMED: no further action in legacy; PROPOSED: rejected payment remains for audit; actor may resubmit new deposit","Same as WF-17","CONFIRMED code; PROPOSED target controls","Not a live-status step"
WF-19,finance_payment_request,NOT_SUBMITTED,FEE_REQUEST_PENDING (P),"(not a live-status label; candidate fee)","CONFIRMED: role_id=101 Agent or role_id=104 Employee via payment requests BREAD; PROPOSED: panel.agent.payment_request.create","CONFIRMED: candidate_id must exist and be active; INFERRED: agent must have sufficient balance to cover request amount","INFERRED: none at request creation","INFERRED: none required at creation","CONFIRMED: candidate_id, agent_id, amount, bill_title required; CONFIRMED: bill_title values observed: 'Admission Group Approval', 'Final Group Approval', 'Medical Fee', 'Manpower Fee'; PROPOSED: bill_title_code enum replaces free text; CONFIRMED: group_id (class_group_id) stored on request","CONFIRMED: INSERT payment_requests(candidate_id, agent_id, group_id, amount, bill_title, status='P', ...); INFERRED: notifications to agent/sub-agent","PROPOSED: workflow_event(event=FEE_REQUEST_SUBMITTED, actor, payment_request_id, bill_title, amount)","INFERRED: cancellation while P; PROPOSED: FEE_REQUEST_CANCELLED event; no balance effect while P","src/app/Http/Controllers/Admin/VoyagerPaymentRequestController.php:store(); src/app/Http/Controllers/Admin/VoyagerSubAgentPaymentRequestController.php","CONFIRMED code; INFERRED preconditions; PROPOSED target controls","Not a live-status step; bill_title determines which candidate payment FK field is set — KNOWN BUG in assignment"
WF-20,finance_payment_request,FEE_REQUEST_PENDING (P),FEE_REQUEST_APPROVED (A),"(not a live-status label; balance debited)","CONFIRMED: role_id=101 Agent (for own payment requests); role_id=109 Sub Agent (for sub-agent requests); CONFIRMED BUG: route /panel/ajax/candidate-payment-approval/{id} has no authorize() call; PROPOSED: workflow.candidate.payment.approve","CONFIRMED: payment_request.status must be 'P'; CONFIRMED: agent/sub-agent balance >= amount","INFERRED: none required at approval time","CONFIRMED: balance >= request.amount (checked before debit)","CONFIRMED: balance check; CONFIRMED: remarks and status required in POST; CONFIRMED KNOWN BUG: bill_title = 'Admission...' uses assignment (=) not comparison (==) — first branch always executes; CONFIRMED KNOWN BUG: currency_id hardcoded to 2 on DR payment row; PROPOSED: idempotency key prevents double-debit; FINANCE GATE: correction of FX formula REQUIRES APPROVAL A01/A02","CONFIRMED: decrement agents/sub_agents.balance by request.amount (no FX on debit — KNOWN INCONSISTENCY vs wallet credit); CONFIRMED: INSERT payments(type='DR', amount=request.amount, currency_id=2, ...); CONFIRMED: UPDATE payment_requests SET status='A', payment_id=payments.id; CONFIRMED BUG: candidates.admission_payment_id or final_group_payment_id or medical_fee_payment_id set incorrectly due to assignment bug","PROPOSED: workflow_event(event=FEE_REQUEST_APPROVED, actor, payment_request_id, payment_id, bill_title, amount_debited, timestamp); FINANCE GATE: BLOCKED BY A01/A02","CONFIRMED: no reversal path in legacy; PROPOSED: PAYMENT_REVERSED compensating CR entry; original DR preserved; balance correction is new CR pair not rollback; BLOCKED BY APPROVAL A01/A02","src/app/Http/Controllers/Admin/VoyagerAjaxController.php:candidatePaymentApproval():184-284","CONFIRMED code; CONFIRMED known bugs; PROPOSED target controls; FINANCE GATE: BLOCKED BY A01/A02","Not a live-status step; affects manpower status detection via payment_requests query (KNOWN BUGGY)"
WF-21,finance_payment_request,FEE_REQUEST_PENDING (P),FEE_REQUEST_REJECTED (R),"(not a live-status label)","Same as WF-20","CONFIRMED: payment_request.status must be 'P'","INFERRED: none","INFERRED: none","CONFIRMED: remarks required","CONFIRMED: UPDATE payment_requests SET status='R'; CONFIRMED: no balance change; CONFIRMED (code): DR payment row inserted with amount=0 even on rejection — KNOWN BUG (noise row)","PROPOSED: workflow_event(event=FEE_REQUEST_REJECTED, actor, payment_request_id, remarks)","CONFIRMED: no further action in legacy; PROPOSED: rejected request retained for audit; agent may resubmit","Same as WF-20","CONFIRMED code; CONFIRMED known bug (zero DR row on rejection); PROPOSED target controls","Not a live-status step; zero-DR row should NOT be created in new system"
