legacy_permission_id,legacy_key,table_name,proposed_stable_key,route_controller_actions,row_scope,document_access,report_access,evidence
11,browse_roles,roles,iam.roles.browse,src/app/Http/Controllers/Admin/VoyagerAgencierController.php:7 | src/app/Http/Controllers/Admin/VoyagerCandidateDocumentController.php:221 | src/app/Http/Controllers/Admin/VoyagerCandidatesController.php:501 | src/app/Http/Controllers/Admin/VoyagerCompanierController.php:7 | src/app/Http/Controllers/Admin/VoyagerEmployeeController.php:7 | src/app/Http/Controllers/Admin/VoyagerEmployerController.php:7 | src/app/Http/Controllers/Admin/VoyagerInvoiceController.php:223 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:53 | src/app/Http/Controllers/Admin/VoyagerPaymentRequestController.php:205 | src/app/Http/Controllers/Admin/VoyagerSubAgentPaymentRequestController.php:207 | src/app/Http/Controllers/Admin/VoyagerTeacherController.php:7 | src/app/Http/Controllers/Admin/VoyagerTicketInvoiceController.php:254 | src/app/Http/Controllers/Admin/VoyagerUserController.php:6,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
12,read_roles,roles,iam.roles.read,src/app/Http/Controllers/Admin/VoyagerAgencierController.php:7 | src/app/Http/Controllers/Admin/VoyagerCandidateDocumentController.php:221 | src/app/Http/Controllers/Admin/VoyagerCandidatesController.php:501 | src/app/Http/Controllers/Admin/VoyagerCompanierController.php:7 | src/app/Http/Controllers/Admin/VoyagerEmployeeController.php:7 | src/app/Http/Controllers/Admin/VoyagerEmployerController.php:7 | src/app/Http/Controllers/Admin/VoyagerInvoiceController.php:223 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:53 | src/app/Http/Controllers/Admin/VoyagerPaymentRequestController.php:205 | src/app/Http/Controllers/Admin/VoyagerSubAgentPaymentRequestController.php:207 | src/app/Http/Controllers/Admin/VoyagerTeacherController.php:7 | src/app/Http/Controllers/Admin/VoyagerTicketInvoiceController.php:254 | src/app/Http/Controllers/Admin/VoyagerUserController.php:6,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
13,edit_roles,roles,iam.roles.edit,src/app/Http/Controllers/Admin/VoyagerAgencierController.php:7 | src/app/Http/Controllers/Admin/VoyagerCandidateDocumentController.php:221 | src/app/Http/Controllers/Admin/VoyagerCandidatesController.php:501 | src/app/Http/Controllers/Admin/VoyagerCompanierController.php:7 | src/app/Http/Controllers/Admin/VoyagerEmployeeController.php:7 | src/app/Http/Controllers/Admin/VoyagerEmployerController.php:7 | src/app/Http/Controllers/Admin/VoyagerInvoiceController.php:223 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:53 | src/app/Http/Controllers/Admin/VoyagerPaymentRequestController.php:205 | src/app/Http/Controllers/Admin/VoyagerSubAgentPaymentRequestController.php:207 | src/app/Http/Controllers/Admin/VoyagerTeacherController.php:7 | src/app/Http/Controllers/Admin/VoyagerTicketInvoiceController.php:254 | src/app/Http/Controllers/Admin/VoyagerUserController.php:6,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
14,add_roles,roles,iam.roles.add,src/app/Http/Controllers/Admin/VoyagerAgencierController.php:7 | src/app/Http/Controllers/Admin/VoyagerCandidateDocumentController.php:221 | src/app/Http/Controllers/Admin/VoyagerCandidatesController.php:501 | src/app/Http/Controllers/Admin/VoyagerCompanierController.php:7 | src/app/Http/Controllers/Admin/VoyagerEmployeeController.php:7 | src/app/Http/Controllers/Admin/VoyagerEmployerController.php:7 | src/app/Http/Controllers/Admin/VoyagerInvoiceController.php:223 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:53 | src/app/Http/Controllers/Admin/VoyagerPaymentRequestController.php:205 | src/app/Http/Controllers/Admin/VoyagerSubAgentPaymentRequestController.php:207 | src/app/Http/Controllers/Admin/VoyagerTeacherController.php:7 | src/app/Http/Controllers/Admin/VoyagerTicketInvoiceController.php:254 | src/app/Http/Controllers/Admin/VoyagerUserController.php:6,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
15,delete_roles,roles,iam.roles.delete,src/app/Http/Controllers/Admin/VoyagerAgencierController.php:7 | src/app/Http/Controllers/Admin/VoyagerCandidateDocumentController.php:221 | src/app/Http/Controllers/Admin/VoyagerCandidatesController.php:501 | src/app/Http/Controllers/Admin/VoyagerCompanierController.php:7 | src/app/Http/Controllers/Admin/VoyagerEmployeeController.php:7 | src/app/Http/Controllers/Admin/VoyagerEmployerController.php:7 | src/app/Http/Controllers/Admin/VoyagerInvoiceController.php:223 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:53 | src/app/Http/Controllers/Admin/VoyagerPaymentRequestController.php:205 | src/app/Http/Controllers/Admin/VoyagerSubAgentPaymentRequestController.php:207 | src/app/Http/Controllers/Admin/VoyagerTeacherController.php:7 | src/app/Http/Controllers/Admin/VoyagerTicketInvoiceController.php:254 | src/app/Http/Controllers/Admin/VoyagerUserController.php:6,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
16,browse_users,users,iam.users.browse,src/app/Http/Controllers/ApiController.php:7 | src/app/Http/Controllers/PageController.php:18 | src/app/Http/Controllers/Admin/AuthenticationController.php:24 | src/app/Http/Controllers/Admin/VoyagerAgencierController.php:16 | src/app/Http/Controllers/Admin/VoyagerAgencyController.php:61 | src/app/Http/Controllers/Admin/VoyagerAgentController.php:17 | src/app/Http/Controllers/Admin/VoyagerAjaxController.php:14 | src/app/Http/Controllers/Admin/VoyagerAnnouncementsController.php:19 | src/app/Http/Controllers/Admin/VoyagerArcController.php:61 | src/app/Http/Controllers/Admin/VoyagerCandidateDocumentController.php:10 | src/app/Http/Controllers/Admin/VoyagerCandidatesController.php:22 | src/app/Http/Controllers/Admin/VoyagerCompanierController.php:16 | src/app/Http/Controllers/Admin/VoyagerCompanyController.php:61 | src/app/Http/Controllers/Admin/VoyagerDatabaseController.php:6 | src/app/Http/Controllers/Admin/VoyagerEmployeeController.php:16 | src/app/Http/Controllers/Admin/VoyagerEmployerController.php:16 | src/app/Http/Controllers/Admin/VoyagerExamController.php:62 | src/app/Http/Controllers/Admin/VoyagerExamResultController.php:92 | src/app/Http/Controllers/Admin/VoyagerFlightScheduleController.php:61 | src/app/Http/Controllers/Admin/VoyagerInvoiceMoneyReceiptController.php:117 | src/app/Http/Controllers/Admin/VoyagerLabourContractController.php:61 | src/app/Http/Controllers/Admin/VoyagerManpowerController.php:61 | src/app/Http/Controllers/Admin/VoyagerMedicalMinistryController.php:61 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:40 | src/app/Http/Controllers/Admin/VoyagerNotificationsController.php:19 | src/app/Http/Controllers/Admin/VoyagerPaymentController.php:141 | src/app/Http/Controllers/Admin/VoyagerPaymentRequestController.php:9 | src/app/Http/Controllers/Admin/VoyagerPoliceClearanceController.php:61 | src/app/Http/Controllers/Admin/VoyagerProfileController.php:6 | src/app/Http/Controllers/Admin/VoyagerReportController.php:61 | src/app/Http/Controllers/Admin/VoyagerSubAgentController.php:20 | src/app/Http/Controllers/Admin/VoyagerSubAgentPaymentRequestController.php:10 | src/app/Http/Controllers/Admin/VoyagerTeacherController.php:16 | src/app/Http/Controllers/Admin/VoyagerTicketInvoiceMoneyReceiptController.php:117 | src/app/Http/Controllers/Admin/VoyagerUserController.php:17 | src/app/Http/Controllers/Admin/VoyagerVisaImmigrationController.php:61 | src/app/Http/Controllers/Auth/ConfirmPasswordController.php:25 | src/app/Http/Controllers/Auth/ForgotPasswordController.php:17 | src/app/Http/Controllers/Auth/LoginController.php:16 | src/app/Http/Controllers/Auth/RegisterController.php:7 | src/app/Http/Controllers/Auth/ResetPasswordController.php:25 | src/app/Http/Controllers/Auth/VerificationController.php:17 | src/routes/admin.php:15 | src/routes/api.php:17 | src/routes/channels.php:12,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
17,read_users,users,iam.users.read,src/app/Http/Controllers/ApiController.php:7 | src/app/Http/Controllers/PageController.php:18 | src/app/Http/Controllers/Admin/AuthenticationController.php:24 | src/app/Http/Controllers/Admin/VoyagerAgencierController.php:16 | src/app/Http/Controllers/Admin/VoyagerAgencyController.php:61 | src/app/Http/Controllers/Admin/VoyagerAgentController.php:17 | src/app/Http/Controllers/Admin/VoyagerAjaxController.php:14 | src/app/Http/Controllers/Admin/VoyagerAnnouncementsController.php:19 | src/app/Http/Controllers/Admin/VoyagerArcController.php:61 | src/app/Http/Controllers/Admin/VoyagerCandidateDocumentController.php:10 | src/app/Http/Controllers/Admin/VoyagerCandidatesController.php:22 | src/app/Http/Controllers/Admin/VoyagerCompanierController.php:16 | src/app/Http/Controllers/Admin/VoyagerCompanyController.php:61 | src/app/Http/Controllers/Admin/VoyagerDatabaseController.php:6 | src/app/Http/Controllers/Admin/VoyagerEmployeeController.php:16 | src/app/Http/Controllers/Admin/VoyagerEmployerController.php:16 | src/app/Http/Controllers/Admin/VoyagerExamController.php:62 | src/app/Http/Controllers/Admin/VoyagerExamResultController.php:92 | src/app/Http/Controllers/Admin/VoyagerFlightScheduleController.php:61 | src/app/Http/Controllers/Admin/VoyagerInvoiceMoneyReceiptController.php:117 | src/app/Http/Controllers/Admin/VoyagerLabourContractController.php:61 | src/app/Http/Controllers/Admin/VoyagerManpowerController.php:61 | src/app/Http/Controllers/Admin/VoyagerMedicalMinistryController.php:61 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:40 | src/app/Http/Controllers/Admin/VoyagerNotificationsController.php:19 | src/app/Http/Controllers/Admin/VoyagerPaymentController.php:141 | src/app/Http/Controllers/Admin/VoyagerPaymentRequestController.php:9 | src/app/Http/Controllers/Admin/VoyagerPoliceClearanceController.php:61 | src/app/Http/Controllers/Admin/VoyagerProfileController.php:6 | src/app/Http/Controllers/Admin/VoyagerReportController.php:61 | src/app/Http/Controllers/Admin/VoyagerSubAgentController.php:20 | src/app/Http/Controllers/Admin/VoyagerSubAgentPaymentRequestController.php:10 | src/app/Http/Controllers/Admin/VoyagerTeacherController.php:16 | src/app/Http/Controllers/Admin/VoyagerTicketInvoiceMoneyReceiptController.php:117 | src/app/Http/Controllers/Admin/VoyagerUserController.php:17 | src/app/Http/Controllers/Admin/VoyagerVisaImmigrationController.php:61 | src/app/Http/Controllers/Auth/ConfirmPasswordController.php:25 | src/app/Http/Controllers/Auth/ForgotPasswordController.php:17 | src/app/Http/Controllers/Auth/LoginController.php:16 | src/app/Http/Controllers/Auth/RegisterController.php:7 | src/app/Http/Controllers/Auth/ResetPasswordController.php:25 | src/app/Http/Controllers/Auth/VerificationController.php:17 | src/routes/admin.php:15 | src/routes/api.php:17 | src/routes/channels.php:12,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
18,edit_users,users,iam.users.edit,src/app/Http/Controllers/ApiController.php:7 | src/app/Http/Controllers/PageController.php:18 | src/app/Http/Controllers/Admin/AuthenticationController.php:24 | src/app/Http/Controllers/Admin/VoyagerAgencierController.php:16 | src/app/Http/Controllers/Admin/VoyagerAgencyController.php:61 | src/app/Http/Controllers/Admin/VoyagerAgentController.php:17 | src/app/Http/Controllers/Admin/VoyagerAjaxController.php:14 | src/app/Http/Controllers/Admin/VoyagerAnnouncementsController.php:19 | src/app/Http/Controllers/Admin/VoyagerArcController.php:61 | src/app/Http/Controllers/Admin/VoyagerCandidateDocumentController.php:10 | src/app/Http/Controllers/Admin/VoyagerCandidatesController.php:22 | src/app/Http/Controllers/Admin/VoyagerCompanierController.php:16 | src/app/Http/Controllers/Admin/VoyagerCompanyController.php:61 | src/app/Http/Controllers/Admin/VoyagerDatabaseController.php:6 | src/app/Http/Controllers/Admin/VoyagerEmployeeController.php:16 | src/app/Http/Controllers/Admin/VoyagerEmployerController.php:16 | src/app/Http/Controllers/Admin/VoyagerExamController.php:62 | src/app/Http/Controllers/Admin/VoyagerExamResultController.php:92 | src/app/Http/Controllers/Admin/VoyagerFlightScheduleController.php:61 | src/app/Http/Controllers/Admin/VoyagerInvoiceMoneyReceiptController.php:117 | src/app/Http/Controllers/Admin/VoyagerLabourContractController.php:61 | src/app/Http/Controllers/Admin/VoyagerManpowerController.php:61 | src/app/Http/Controllers/Admin/VoyagerMedicalMinistryController.php:61 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:40 | src/app/Http/Controllers/Admin/VoyagerNotificationsController.php:19 | src/app/Http/Controllers/Admin/VoyagerPaymentController.php:141 | src/app/Http/Controllers/Admin/VoyagerPaymentRequestController.php:9 | src/app/Http/Controllers/Admin/VoyagerPoliceClearanceController.php:61 | src/app/Http/Controllers/Admin/VoyagerProfileController.php:6 | src/app/Http/Controllers/Admin/VoyagerReportController.php:61 | src/app/Http/Controllers/Admin/VoyagerSubAgentController.php:20 | src/app/Http/Controllers/Admin/VoyagerSubAgentPaymentRequestController.php:10 | src/app/Http/Controllers/Admin/VoyagerTeacherController.php:16 | src/app/Http/Controllers/Admin/VoyagerTicketInvoiceMoneyReceiptController.php:117 | src/app/Http/Controllers/Admin/VoyagerUserController.php:17 | src/app/Http/Controllers/Admin/VoyagerVisaImmigrationController.php:61 | src/app/Http/Controllers/Auth/ConfirmPasswordController.php:25 | src/app/Http/Controllers/Auth/ForgotPasswordController.php:17 | src/app/Http/Controllers/Auth/LoginController.php:16 | src/app/Http/Controllers/Auth/RegisterController.php:7 | src/app/Http/Controllers/Auth/ResetPasswordController.php:25 | src/app/Http/Controllers/Auth/VerificationController.php:17 | src/routes/admin.php:15 | src/routes/api.php:17 | src/routes/channels.php:12,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
19,add_users,users,iam.users.add,src/app/Http/Controllers/ApiController.php:7 | src/app/Http/Controllers/PageController.php:18 | src/app/Http/Controllers/Admin/AuthenticationController.php:24 | src/app/Http/Controllers/Admin/VoyagerAgencierController.php:16 | src/app/Http/Controllers/Admin/VoyagerAgencyController.php:61 | src/app/Http/Controllers/Admin/VoyagerAgentController.php:17 | src/app/Http/Controllers/Admin/VoyagerAjaxController.php:14 | src/app/Http/Controllers/Admin/VoyagerAnnouncementsController.php:19 | src/app/Http/Controllers/Admin/VoyagerArcController.php:61 | src/app/Http/Controllers/Admin/VoyagerCandidateDocumentController.php:10 | src/app/Http/Controllers/Admin/VoyagerCandidatesController.php:22 | src/app/Http/Controllers/Admin/VoyagerCompanierController.php:16 | src/app/Http/Controllers/Admin/VoyagerCompanyController.php:61 | src/app/Http/Controllers/Admin/VoyagerDatabaseController.php:6 | src/app/Http/Controllers/Admin/VoyagerEmployeeController.php:16 | src/app/Http/Controllers/Admin/VoyagerEmployerController.php:16 | src/app/Http/Controllers/Admin/VoyagerExamController.php:62 | src/app/Http/Controllers/Admin/VoyagerExamResultController.php:92 | src/app/Http/Controllers/Admin/VoyagerFlightScheduleController.php:61 | src/app/Http/Controllers/Admin/VoyagerInvoiceMoneyReceiptController.php:117 | src/app/Http/Controllers/Admin/VoyagerLabourContractController.php:61 | src/app/Http/Controllers/Admin/VoyagerManpowerController.php:61 | src/app/Http/Controllers/Admin/VoyagerMedicalMinistryController.php:61 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:40 | src/app/Http/Controllers/Admin/VoyagerNotificationsController.php:19 | src/app/Http/Controllers/Admin/VoyagerPaymentController.php:141 | src/app/Http/Controllers/Admin/VoyagerPaymentRequestController.php:9 | src/app/Http/Controllers/Admin/VoyagerPoliceClearanceController.php:61 | src/app/Http/Controllers/Admin/VoyagerProfileController.php:6 | src/app/Http/Controllers/Admin/VoyagerReportController.php:61 | src/app/Http/Controllers/Admin/VoyagerSubAgentController.php:20 | src/app/Http/Controllers/Admin/VoyagerSubAgentPaymentRequestController.php:10 | src/app/Http/Controllers/Admin/VoyagerTeacherController.php:16 | src/app/Http/Controllers/Admin/VoyagerTicketInvoiceMoneyReceiptController.php:117 | src/app/Http/Controllers/Admin/VoyagerUserController.php:17 | src/app/Http/Controllers/Admin/VoyagerVisaImmigrationController.php:61 | src/app/Http/Controllers/Auth/ConfirmPasswordController.php:25 | src/app/Http/Controllers/Auth/ForgotPasswordController.php:17 | src/app/Http/Controllers/Auth/LoginController.php:16 | src/app/Http/Controllers/Auth/RegisterController.php:7 | src/app/Http/Controllers/Auth/ResetPasswordController.php:25 | src/app/Http/Controllers/Auth/VerificationController.php:17 | src/routes/admin.php:15 | src/routes/api.php:17 | src/routes/channels.php:12,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
20,delete_users,users,iam.users.delete,src/app/Http/Controllers/ApiController.php:7 | src/app/Http/Controllers/PageController.php:18 | src/app/Http/Controllers/Admin/AuthenticationController.php:24 | src/app/Http/Controllers/Admin/VoyagerAgencierController.php:16 | src/app/Http/Controllers/Admin/VoyagerAgencyController.php:61 | src/app/Http/Controllers/Admin/VoyagerAgentController.php:17 | src/app/Http/Controllers/Admin/VoyagerAjaxController.php:14 | src/app/Http/Controllers/Admin/VoyagerAnnouncementsController.php:19 | src/app/Http/Controllers/Admin/VoyagerArcController.php:61 | src/app/Http/Controllers/Admin/VoyagerCandidateDocumentController.php:10 | src/app/Http/Controllers/Admin/VoyagerCandidatesController.php:22 | src/app/Http/Controllers/Admin/VoyagerCompanierController.php:16 | src/app/Http/Controllers/Admin/VoyagerCompanyController.php:61 | src/app/Http/Controllers/Admin/VoyagerDatabaseController.php:6 | src/app/Http/Controllers/Admin/VoyagerEmployeeController.php:16 | src/app/Http/Controllers/Admin/VoyagerEmployerController.php:16 | src/app/Http/Controllers/Admin/VoyagerExamController.php:62 | src/app/Http/Controllers/Admin/VoyagerExamResultController.php:92 | src/app/Http/Controllers/Admin/VoyagerFlightScheduleController.php:61 | src/app/Http/Controllers/Admin/VoyagerInvoiceMoneyReceiptController.php:117 | src/app/Http/Controllers/Admin/VoyagerLabourContractController.php:61 | src/app/Http/Controllers/Admin/VoyagerManpowerController.php:61 | src/app/Http/Controllers/Admin/VoyagerMedicalMinistryController.php:61 | src/app/Http/Controllers/Admin/VoyagerMyPanelController.php:40 | src/app/Http/Controllers/Admin/VoyagerNotificationsController.php:19 | src/app/Http/Controllers/Admin/VoyagerPaymentController.php:141 | src/app/Http/Controllers/Admin/VoyagerPaymentRequestController.php:9 | src/app/Http/Controllers/Admin/VoyagerPoliceClearanceController.php:61 | src/app/Http/Controllers/Admin/VoyagerProfileController.php:6 | src/app/Http/Controllers/Admin/VoyagerReportController.php:61 | src/app/Http/Controllers/Admin/VoyagerSubAgentController.php:20 | src/app/Http/Controllers/Admin/VoyagerSubAgentPaymentRequestController.php:10 | src/app/Http/Controllers/Admin/VoyagerTeacherController.php:16 | src/app/Http/Controllers/Admin/VoyagerTicketInvoiceMoneyReceiptController.php:117 | src/app/Http/Controllers/Admin/VoyagerUserController.php:17 | src/app/Http/Controllers/Admin/VoyagerVisaImmigrationController.php:61 | src/app/Http/Controllers/Auth/ConfirmPasswordController.php:25 | src/app/Http/Controllers/Auth/ForgotPasswordController.php:17 | src/app/Http/Controllers/Auth/LoginController.php:16 | src/app/Http/Controllers/Auth/RegisterController.php:7 | src/app/Http/Controllers/Auth/ResetPasswordController.php:25 | src/app/Http/Controllers/Auth/VerificationController.php:17 | src/routes/admin.php:15 | src/routes/api.php:17 | src/routes/channels.php:12,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
21,browse_settings,settings,platform.settings.browse,UNVERIFIED: Voyager/BREAD dynamic route or no explicit canonical action,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
22,read_settings,settings,platform.settings.read,UNVERIFIED: Voyager/BREAD dynamic route or no explicit canonical action,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
23,edit_settings,settings,platform.settings.edit,UNVERIFIED: Voyager/BREAD dynamic route or no explicit canonical action,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
24,add_settings,settings,platform.settings.add,UNVERIFIED: Voyager/BREAD dynamic route or no explicit canonical action,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
25,delete_settings,settings,platform.settings.delete,UNVERIFIED: Voyager/BREAD dynamic route or no explicit canonical action,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
26,browse_categories,categories,platform.categories.browse,src/app/Http/Controllers/Admin/VoyagerDatabaseController.php:74,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
27,read_categories,categories,platform.categories.read,src/app/Http/Controllers/Admin/VoyagerDatabaseController.php:74,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
28,edit_categories,categories,platform.categories.edit,src/app/Http/Controllers/Admin/VoyagerDatabaseController.php:74,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
29,add_categories,categories,platform.categories.add,src/app/Http/Controllers/Admin/VoyagerDatabaseController.php:74,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
30,delete_categories,categories,platform.categories.delete,src/app/Http/Controllers/Admin/VoyagerDatabaseController.php:74,PROPOSED: explicit policy scope required; legacy global scopes/hard-coded roles must be translated,PROPOSED: inherit resource read plus file-specific policy; never infer from URL possession,PROPOSED: separate report.execute/report.export permission where applicable,CONFIRMED legacy permission; PROPOSED stable key/scopes
